,id,Date Created,Tweet,location,type_incident,Tweet_sentiment
0,1556011346768052224,2022-08-06 20:16:29,"All hands transmitted, fire in a private dwelling.",Bronx | 687 E 224th St.,fires,0
63,1558083412245766144,2022-08-12 13:30:07,"Confirmed robbery. S-1 is a m/b wearing a black shirt, blue jeans, black boots.… https://t.co/PiRDgQQJj8",Queens | 63rd St and Roosevelt Ave.,fires,0
64,1558075562601709569,2022-08-12 12:58:56,"Scooterist struck by a vehicle, aided w/ serious injuries. Highway CIS… https://t.co/5hL9A2qCHb",Manhattan | W 125th St and Morningside Ave.,accident,2
65,1558056589898272769,2022-08-12 11:43:32,"3rd alarm transmitted, fire on the 2nd floor.",Brooklyn | 236 Montrose Ave.,fires,0
66,1557908622838878208,2022-08-12 01:55:34,"Police vehicle accident w/ a confirmed pin, officer extricated and is conscious at… https://t.co/tGzpZbqZpq",Brooklyn | E 24th St and Ave Z.,accident,2
67,1557878821063479297,2022-08-11 23:57:09,"Confirmed pedestrian struck by a bicyclist, aided w/ serious injuries. Suspect i… https://t.co/IdLzE4XB1T",Manhattan | W 22nd St and 8th Ave.,accident,2
68,1557852173886636033,2022-08-11 22:11:16,"Confirmed person struck by the train at Court St station R line, requesting power off.",Brooklyn | Court St and Montague St.,accident,2
69,1557821722677727235,2022-08-11 20:10:16,"All hands transmitted, fire in a private dwelling.",Queens | 108-21 41st Ave.,fires,0
70,1557821054516695043,2022-08-11 20:07:36,"All hands transmitted, gas leak.",Manhattan | 848 Washington St.,fires,0
71,1557695903082872832,2022-08-11 11:50:18,"Confirmed male shot, aided not likely.",Bronx | E 162nd St and Morris Ave.,crime,3
72,1557512099559088128,2022-08-10 23:39:56,"Confirmed male shot in the hip, aided not likely.",Manhattan | E 120th St and 2nd Ave.,crime,3
73,1557512001517240329,2022-08-10 23:39:32,"Confirmed gunpoint robbery of a jewelry store, several aideds pepper-sprayed.",Bronx | 306 E Fordham Rd.,fires,0
74,1557501571897991168,2022-08-10 22:58:06,"Confirmed male shot in the leg, aided not likely.",Bronx | E 146th St and Brook Ave.,crime,3
75,1557493911752409088,2022-08-10 22:27:40,"All hands transmitted, fire in the cellar.",Staten Island | 85 Amador St.,fires,0
76,1557484177934716928,2022-08-10 21:48:59,Additional units requested for crowd control at the location.,Manhattan | W 45th St and 9th Ave.,fires,0
77,1557452156952879108,2022-08-10 19:41:44,"All hands transmitted, fire in a multiple dwelling.",Manhattan | 320 E 57th St.,fires,0
78,1557446593393172485,2022-08-10 19:19:38,"Confirmed male shot, aided not likely.",Queens | Jamaica Ave and Parsons Blvd.,crime,3
79,1557422022396968963,2022-08-10 17:42:00,"Confirmed male shot, aided not likely.",Manhattan | 2651 Broadway.,crime,3
80,1557412455936032768,2022-08-10 17:03:59,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 633 New Jersey Ave.,fires,0
81,1557378808222711808,2022-08-10 14:50:17,"All hands transmitted, fire in a private dwelling.",Staten Island | 43 Simonson Pl.,fires,0
82,1557378316394549248,2022-08-10 14:48:19,"All hands transmitted, fire in apt 1D.",Manhattan | 308 Delancey St.,fires,0
83,1557371883397566473,2022-08-10 14:22:46,"All hands transmitted, fire in a commercial.",Queens | 48-06 Norton Ave.,fires,0
84,1557365031788056577,2022-08-10 13:55:32,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 266 St Nicholas Ave.,fires,0
85,1557134297143939073,2022-08-09 22:38:41,Confirmed shots fired at the location.,Queens | Rear of 159-02 109th Ave.,crime,3
86,1557122473870639104,2022-08-09 21:51:42,"All hands transmitted, fire in a commercial.",Bronx | 1515 Castle Hill Ave.,fires,0
87,1557118420428226561,2022-08-09 21:35:35,"All hands transmitted, fire on the 4th floor.",Brooklyn | 2921 Tilden Ave.,fires,0
88,1557115737965297666,2022-08-09 21:24:56,"All hands transmitted, fire on the 7th floor.",Brooklyn | 554 E 26th St.,fires,0
89,1557105208643264515,2022-08-09 20:43:06,"Confirmed jumper down, aided is DOA.",Queens | 41-40 Union St.,accident,2
90,1557100145459826689,2022-08-09 20:22:58,"All hands transmitted, fire in a private dwelling.",Staten Island | 51 Mersereau Ave.,fires,0
91,1557083204523368453,2022-08-09 19:15:39,"All hands transmitted, fire in a private dwelling.",Brooklyn | 1781 78th St.,fires,0
92,1557075260834566144,2022-08-09 18:44:05,"Confirmed male shot in the leg, aided not likely.",Bronx | 745 E 152nd St.,crime,3
93,1557074109997219841,2022-08-09 18:39:31,"All hands transmitted, brush fire in the rear.",Staten Island | 2911 Arthur Kill Rd.,fires,0
94,1557049843561938944,2022-08-09 17:03:05,"PD o/s of multiple pedestrians struck, 7 aideds in not likely condition.",Bronx | 854 E 163rd St.,accident,2
95,1556984528467525637,2022-08-09 12:43:33,"Confirmed assault w/ a knife. Suspect is a m/h, 5’6” tall, wearing a black Adidas hat,… https://t.co/1pMpq4YV8k",Brooklyn | 854 Bushwick Ave.,crime,3
96,1556854712481337344,2022-08-09 04:07:43,Pedestrian struck w/ serious injuries. Highway CIS requested for the confirmed job.,Brooklyn | 129 Gateway Dr.,accident,2
97,1556851942680395776,2022-08-09 03:56:42,"Confirmed gunpoint robbery, scooter taken. Two m/b suspects wearing black masks.",Queens | 32nd Pl and Queens Blvd.,robbery,1
98,1556836973825900548,2022-08-09 02:57:13,"Vehicle collision involving an off-duty officer, transported w/ a broken leg and is not likely.",Brooklyn | Belt Pkwy w/b near Knapp St.,fires,0
99,1556827481579167744,2022-08-09 02:19:30,Confirmed shots fired at the location.,Brooklyn | 181 E 40th St.,crime,3
100,1556818043136872449,2022-08-09 01:42:00,"All hands transmitted, maintenance hole fire.",Bronx | 1015 E 179th St.,fires,0
101,1556799165971177472,2022-08-09 00:26:59,"All hands transmitted, fire in a commercial.",Brooklyn | 9325 Ditmas Ave.,fires,0
102,1556798531523993601,2022-08-09 00:24:28,Confirmed male shot. Suspects fled e/b on Case St in a white Toyota Corolla.,Queens | 89-45 Elmhurst Ave.,crime,3
103,1556788250039173120,2022-08-08 23:43:37,"All hands transmitted, fire in a private dwelling.",Brooklyn | 1865 48th St.,fires,0
104,1556762204799631362,2022-08-08 22:00:07,"Confirmed male shot in the leg, aided not likely.",Queens | 150-31 118th Ave.,crime,3
105,1556715971397750786,2022-08-08 18:56:24,"Confirmed gunpoint robbery. Suspect is a m/b, 5’6”-5’9” tall, late 20s to early 30s, w… https://t.co/74RbL0Boix",Bronx | 670 Castle Hill Ave.,fires,0
106,1556411404571348993,2022-08-07 22:46:10,"Confirmed assault in transit at Park Pl station 2/3 line. Suspect is a m/b, 30-40… https://t.co/dwTisPBNHS",Manhattan | Broadway and Park Pl.,crime,3
107,1556405987896082433,2022-08-07 22:24:38,"Confirmed male shot, aided is likely.",Queens | 148th Ave and 231st St.,crime,3
108,1556339619649753089,2022-08-07 18:00:55,"Confirmed assault w/ a knife in transit at 161st St-Yankee Stadium station, aided… https://t.co/09LpYdZI5M",Bronx | E 161st St and River Ave.,crime,3
109,1556277235400683520,2022-08-07 13:53:01,"All hands transmitted, fire in apt 7C.",Brooklyn | 3178 Bayview Ave.,fires,0
110,1556125328858398720,2022-08-07 03:49:24,"Confirmed gunpoint robbery, aided w/ minor injuries.",Manhattan | E 9th St and Avenue D.,fires,0
111,1556119827936419843,2022-08-07 03:27:32,"Motorcycle accident, aided DOA at the hospital. Highway CIS requested for the confirmed job.",Manhattan | W 104th St and Henry Hudson Pkwy.,accident,2
112,1556080179100925955,2022-08-07 00:49:59,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 1389 St Marks Ave.,fires,0
113,1561134949226483712,2022-08-20 23:35:51,Child struck by a vehicle w/ serious injuries. Highway CIS requested for the confirmed job.,Queens | 117-23 147th St.,accident,2
114,1561131143575097344,2022-08-20 23:20:43,"All hands transmitted, fire in a multiple dwelling.",Bronx | 3060 Decatur Ave.,fires,0
115,1561109002796376065,2022-08-20 21:52:44,"Confirmed male shot in the ankle, aided not likely. Suspect is a m/b wearing a bla… https://t.co/yF3uFfWBOR",Queens | 172nd St and 104th Ave.,crime,3
116,1561105219177570304,2022-08-20 21:37:42,"All hands transmitted, fire in a private dwelling.",Bronx | 3212 Eastchester Rd.,fires,0
117,1561058124781572099,2022-08-20 18:30:34,Scooterist struck by a vehicle w/ serious injuries. Highway CIS requested for the confirmed job.,Brooklyn | 74th St and 18th Ave.,accident,2
118,1561046473768407041,2022-08-20 17:44:16,Confirmed male shot. Three male suspects fled in a white Toyota Camry.,Queens | Beach 31st St and Seagirt Blvd.,crime,3
119,1561043668525514752,2022-08-20 17:33:08,"Confirmed robbery. Suspect is a m/b wearing a gray t-shirt, dark or brown pants, fled e/b on a Citi Bike.",Manhattan | 325 W 42nd St.,fires,0
120,1561018119082201094,2022-08-20 15:51:36,"All hands transmitted, fire in a private dwelling.",Bronx | 1315 Hicks St.,fires,0
121,1561017928295895040,2022-08-20 15:50:51,Confirmed shots fired at the location.,Brooklyn | 3549 Nostrand Ave.,crime,3
122,1560817610073178114,2022-08-20 02:34:51,Confirmed shots fired at the location.,Brooklyn | 558 Parkside Ave.,crime,3
123,1560805458633441285,2022-08-20 01:46:34,"Pedestrian struck in hit-and-run, aided w/ serious injuries. Highway CIS requested for the confirmed job.",Queens | 64th St and Broadway.,accident,2
124,1560723524301496321,2022-08-19 20:20:59,"Confirmed male shot, aided is likely. Two male suspects wearing black masks and… https://t.co/dwTFJW7bls",Bronx | E 156th St and Jackson Ave.,crime,3
125,1560699631973064704,2022-08-19 18:46:03,"All hands transmitted, fire in a private dwelling.",Queens | 167-48 145th Ave.,fires,0
126,1560670339109212160,2022-08-19 16:49:39,"All hands transmitted, fire on the 2nd floor.",Brooklyn | 2030 Stuart St.,fires,0
127,1560465243754663936,2022-08-19 03:14:40,"All hands transmitted, fire in a private dwelling.",Staten Island | 35 Opus Ct.,fires,0
128,1560465020517027840,2022-08-19 03:13:47,"All hands transmitted, fire in a private dwelling.",Queens | 72-32 Thursby Ave.,fires,0
129,1560367523060645889,2022-08-18 20:46:22,"Confirmed jumper down, aided w/ CPR in progress.",Brooklyn | 770 Lefferts Ave.,accident,2
130,1560363407903162374,2022-08-18 20:30:01,"All hands transmitted, fire on the 1st floor of a mixed occupancy.",Brooklyn | 2334 Bath Ave.,fires,0
131,1560361147404095490,2022-08-18 20:21:02,"Confirmed male shot. Suspect is a m/b wearing a camo hoodie, black pants, fle… https://t.co/fOqYfyPOU8",Bronx | Mace Ave and White Plains Rd.,crime,3
132,1560340389592195073,2022-08-18 18:58:33,"All hands transmitted, fire in a commercial.",Staten Island | 99 Ellis St.,fires,0
133,1560336732515667973,2022-08-18 18:44:01,"All hands transmitted, fire in a private dwelling.",Queens | 69-36 Gouverneur Ave.,fires,0
134,1560332835600359430,2022-08-18 18:28:32,"All hands transmitted, fire on the roof.",Brooklyn | 632 Gateway Dr.,fires,0
135,1560086483373113349,2022-08-18 02:09:37,"Confirmed commercial robbery at gunpoint. Suspect is a m/b, 6’0” tall, wearing a black s… https://t.co/v7Qcl97Dcj",Brooklyn | 33 Patchen Ave.,fires,0
136,1560069657041805312,2022-08-18 01:02:45,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 949 Herkimer St.,fires,0
137,1560069488434880513,2022-08-18 01:02:05,Confirmed gunpoint robbery. Three m/b suspects fled s/b on 32nd St in a black Mercedes-Benz sedan.,Queens | 30th Ave and 32nd St.,robbery,1
138,1560065594946625537,2022-08-18 00:46:37,"Confirmed male shot, aided not likely.",Brooklyn | Macon St and Malcolm X Blvd.,crime,3
139,1560053850286997506,2022-08-17 23:59:56,Confirmed male shot at the location.,Bronx | 346 E 156th St.,crime,3
140,1560050234822197248,2022-08-17 23:45:34,"Confirmed child down from a window, landed on scaffolding and being transported by EMS.",Bronx | 1511 Sheridan Ave.,fires,0
141,1560045822481518593,2022-08-17 23:28:02,"Confirmed robbery. Two m/b suspects fled in a blue BMW. S-1 is 5’8” tall, we… https://t.co/U3MbLC4J7p",Bronx | Burke Ave and White Plains Rd.,robbery,1
142,1560044127391186946,2022-08-17 23:21:18,"All hands transmitted, fire on the 4th floor.",Brooklyn | 16 Hancock St.,fires,0
143,1560037961726664706,2022-08-17 22:56:48,"All hands transmitted, fire in a multiple dwelling.",Bronx | 716 Fairmount Pl.,fires,0
144,1560026903456747521,2022-08-17 22:12:52,"3rd alarm transmitted, fire in a commercial.",Queens | 111-06 Roosevelt Ave.,fires,0
145,1560018182978637824,2022-08-17 21:38:13,"2nd alarm transmitted, fire in a commercial.",Queens | 111-02 Roosevelt Ave.,fires,0
146,1559972442893844480,2022-08-17 18:36:27,Confirmed gunpoint robbery of a commercial. S-1 is a heavyset m/b wearing a black shir… https://t.co/MiRhkm6tRl,Brooklyn | 1990 Bedford Ave.,fires,0
147,1559883560210817026,2022-08-17 12:43:16,Confirmed knifepoint robbery in transit at Kew Gardens–Union Turnpike station. S… https://t.co/1VGVxmLTVu,Queens | 78th Ave and Queens Blvd.,fires,0
148,1559882312585814018,2022-08-17 12:38:19,"All hands transmitted, fire in a commercial.",Brooklyn | 287 Maspeth Ave.,fires,0
149,1559881515508572161,2022-08-17 12:35:09,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 491 Classon Ave.,fires,0
150,1559750484159856641,2022-08-17 03:54:28,Confirmed male shot at the location.,Brooklyn | E 66th St and Veterans Ave.,crime,3
151,1559739273909239810,2022-08-17 03:09:56,"All hands transmitted, fire in a multiple dwelling.",Manhattan | 41 W 129th St.,fires,0
152,1559720008808337409,2022-08-17 01:53:22,Confirmed vehicle stolen at gunpoint. Suspects fled in a black 2012 Mercedes-Benz w/ NY plate KTN3868.,Bronx | 4188 Barnes Ave.,robbery,1
153,1559637743155683330,2022-08-16 20:26:29,Confirmed male shot at the location.,Brooklyn | 442 Warwick St.,crime,3
154,1559631303573643264,2022-08-16 20:00:53,"Confirmed gunpoint robbery. Two male suspects wearing black ski masks, black c… https://t.co/dgW6LX6ZPl",Manhattan | W 218th St and Broadway.,robbery,1
155,1559630673652207620,2022-08-16 19:58:23,"Confirmed gunpoint robbery. Two m/h suspects wearing black ski masks, black clothing… https://t.co/JXxvEO63s4",Queens | 31st Ave and 31st St.,robbery,1
156,1559620149384282118,2022-08-16 19:16:34,"Confirmed bank robbery. Suspect is a m/w wearing a face mask, white shirt, blue pants.",Manhattan | 1168 1st Ave.,fires,0
157,1559580378280742912,2022-08-16 16:38:32,Confirmed gunpoint robbery. Three m/b suspects wearing black clothing fled in a white Merce… https://t.co/gwqKhZrVcy,Bronx | 2098 Virgil Pl.,robbery,1
158,1559369696872468480,2022-08-16 02:41:22,Confirmed vehicle stolen at gunpoint. Suspect fled in a black 2006 Audi A6 w/ Connecticut plate AU25888.,Bronx | E 211th St and Bronx Blvd.,robbery,1
159,1559332607162286080,2022-08-16 00:13:59,Confirmed male shot at the location.,Queens | Sutphin Blvd and Foch Blvd.,crime,3
160,1559330096707690497,2022-08-16 00:04:00,"Confirmed male shot, aided is likely.",Brooklyn | E 19th St and Dorchester Rd.,crime,3
161,1559305543990353928,2022-08-15 22:26:26,"Confirmed male shot in the head, aided is unresponsive at this time.",Queens | 12-50 Redfern Ave.,crime,3
162,1559276665078939651,2022-08-15 20:31:41,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 40 E 17th St.,fires,0
163,1559259104329203721,2022-08-15 19:21:54,"Confirmed grand larceny of a vehicle, vehicle has been recovered. Suspect is a… https://t.co/hOclSAdmMH",Manhattan | W 35th St and Dyer Ave.,fires,0
164,1559213178357161989,2022-08-15 16:19:25,Confirmed gunpoint robbery. Two male suspects fled in a tan Ford van w/ a sliding door.,Manhattan | E 122nd St and Park Ave.,robbery,1
165,1559212093655732230,2022-08-15 16:15:06,"Confirmed bank robbery. Suspect is a dark-skinned m/h, 5’8” tall, wearing a black baseball… https://t.co/w74Li1TagZ",Bronx | 557 Melrose Ave.,fires,0
166,1559157761870528514,2022-08-15 12:39:12,"Confirmed shots fired. Suspect is a m/b, 6’0” tall w/ a medium build, wearing a black shi… https://t.co/g44X5Q3zrf",Brooklyn | 600 Gates Ave.,crime,3
167,1559002526242017281,2022-08-15 02:22:21,Child struck by a vehicle w/ serious injuries. Highway CIS requested for the confirmed job.,Bronx | W 193rd St and Bailey Ave.,accident,2
168,1558988611156152321,2022-08-15 01:27:04,Confirmed assault w/ a knife in transit at Fordham Rd station 4 line. Suspect is… https://t.co/3m6achCee6,Bronx | Fordham Rd and Jerome Ave.,crime,3
169,1558974204564979718,2022-08-15 00:29:49,"Pedestrian struck, aided is DOA. Highway CIS requested for the confirmed job.",Queens | Myrtle Ave and Seneca Ave.,accident,2
170,1558950779632984065,2022-08-14 22:56:44,"All hands transmitted, fire in the sanitation facility.",Staten Island | 600 W Service Rd.,fires,0
171,1558936930456322049,2022-08-14 22:01:42,"All hands transmitted, fire in a multiple dwelling.",Brooklyn | 34 Eckford St.,fires,0
172,1558934421079826432,2022-08-14 21:51:44,"Confirmed male shot in the leg, aided not likely.",Manhattan | 400 St Nicholas Ave.,crime,3
173,1558912600443944963,2022-08-14 20:25:01,"Pedestrian struck in hit-and-run, aided w/ serious injuries. Suspect fled in… https://t.co/1ka6VeCM6X",Brooklyn | Pacific St and Buffalo Ave.,accident,2
174,1558884712092942339,2022-08-14 18:34:12,Confirmed gunpoint robbery. Two male suspects wearing black face masks fled… https://t.co/ceWgBh42og,Manhattan | W 204th St and Sherman Ave.,robbery,1
175,1558809293104844800,2022-08-14 13:34:31,"All hands transmitted, fire in a private dwelling.",Brooklyn | 210 Washington Ave.,fires,0
176,1558665431963017216,2022-08-14 04:02:52,"Confirmed male shot in the back, aided not likely.",Brooklyn | 3021 Avenue W.,crime,3
177,1558655475251642374,2022-08-14 03:23:18,Confirmed 2 males shot at the location.,Manhattan | E 111th St and 3rd Ave.,crime,3
178,1558654170638450689,2022-08-14 03:18:07,"Confirmed gunpoint robbery. Two m/b suspects in their 20s, 5’7”-5’10” tall… https://t.co/aqQtQNWgF6",Manhattan | W 107th St and Riverside Dr.,robbery,1
179,1558650573028823041,2022-08-14 03:03:49,"Confirmed male shot in the leg. Suspect is a m/b wearing a white t-shirt, black pants.",Manhattan | Dyckman St and 10th Ave.,crime,3
180,1558648885463089154,2022-08-14 02:57:07,"Confirmed gunpoint robbery. S-1 is a m/b wearing a gray sweater, black sweatpants. S-2 i… https://t.co/z0xSo1eQPx",Manhattan | 3546 Broadway.,fires,0
181,1558643704918859776,2022-08-14 02:36:32,"All hands transmitted, fire in a private dwelling.",Queens | 162-03 142nd Ave.,fires,0
